"Date","Start","End","Hours","Night Eating"
"28/1/2022","10:05","06:13","20"
"27/1/2022","09:45","06:03","20"
"26/1/2022","08:44","05:04","20"
"25/1/2022","12:00","06:07","18"
"24/1/2022","10:49","11:25","24"
"22/1/2022","12:27","04:30","40"
"21/1/2022","09:09","05:12","20"
"20/1/2022","11:08","05:42","18"
"19/1/2022","09:18","05:41","20"
"18/1/2022","09:05","05:17","20"
"17/1/2022","09:26","05:46","20"
"15/1/2022","11:03","04:54","41"
"14/1/2022","12:08","06:19","18"
"12/1/2022","13:15","10:15","45"
"11/1/2022","12:50","06:18","17"
"10/1/2022","08:53","05:45","20"
"8/1/2022","13:22","06:08","40"
"7/1/2022","09:52","05:34","19"
"6/1/2022","09:25","05:45","20"
"5/1/2022","09:33","05:42","20"
"4/1/2022","09:30","05:46","20"
"3/1/2022","09:30","05:57","20"
"2/1/2022","09:42","06:07","20"
"1/1/2022","09:18","07:15","21"
"31/12/2021","13:30","07:39","18"
"30/12/2021","09:00","08:37","23"
"29/12/2021","09:13","06:40","21"
"28/12/2021","12:10","07:01","18"
"27/12/2021","09:09","08:03","22"
"26/12/2021","13:30","08:27","18"
"25/12/2021","14:23","13:10","22"
"24/12/2021","10:42","08:07","21"
"23/12/2021","09:13","08:03","22"
"22/12/2021","09:40","08:17","22"
"21/12/2021","09:47","09:04","23"
"20/12/2021","09:47","09:15","23"
"19/12/2021","10:30","05:52","19"
"18/12/2021","12:45","06:11","17"
"17/12/2021","09:50","05:26","19"
"16/12/2021","09:50","05:32","19"
"15/12/2021","10:06","05:40","19"
"14/12/2021","10:15","05:33","19"
"13/12/2021","11:45","05:50","18"
"12/12/2021","11:00","07:15","20"
"11/12/2021","12:45","09:51","21"
"10/12/2021","12:05","05:24","17"
"9/12/2021","10:48","05:47","18"
"8/12/2021","12:52","05:49","16"
"7/12/2021","09:28","05:47","20"
"6/12/2021","10:37","05:53","19"
"5/12/2021","10:50","06:19","19"
"4/12/2021","09:55","06:29","20"
"3/12/2021","13:51","05:11","15"
"2/12/2021","10:21","06:02","19"
"1/12/2021","10:13","06:06","19"
"30/11/2021","10:40","10:13","23"
"29/11/2021","10:40","05:58","19"
"28/11/2021","13:40","06:11","16"
"27/11/2021","14:00","05:31","15"
"26/11/2021","10:30","06:43","20"
"25/11/2021","10:35","06:38","20"
"24/11/2021","11:27","06:22","18"
"23/11/2021","11:17","05:45","18"
"22/11/2021","11:20","06:33","19"
"21/11/2021","14:40","06:38","15"
"20/11/2021","13:30","06:10","16"
"19/11/2021","14:20","06:43","16"
"18/11/2021","15:45","06:00","14"
"17/11/2021","11:25","06:07","18"
"16/11/2021","14:00","06:26","16"
"15/11/2021","14:30","06:26","15"
"14/11/2021","11:00","06:16","19"
"13/11/2021","14:30","07:07","16"
"12/11/2021","13:20","06:10","16"
"11/11/2021","11:35","06:15","18"
"10/11/2021","11:30","06:30","19"
"9/11/2021","12:20","07:30","19"
"8/11/2021","13:30","06:30","17"
"7/11/2021","09:00","05:30","20"
"6/11/2021","12:20","07:00","18"
"5/11/2021","12:30","11:49","23"
"4/11/2021","12:24","07:33","19"
"3/11/2021","12:44","07:13","18"
"2/11/2021","13:18","07:26","18"
"1/11/2021","13:20","07:20","18"
"31/10/2021","13:30","07:40","18"
"30/10/2021","12:50","07:35","18"
"29/10/2021","14:25","07:30","17"
"28/10/2021","14:55","07:08","16"
"27/10/2021","12:30","07:01","18"
"26/10/2021","12:50","07:40","18"
"25/10/2021","14:10","06:20","16"
"24/10/2021","14:55","07:11","16"
"23/10/2021","15:00","07:59","16"
"22/10/2021","12:55","07:39","18"
"21/10/2021","12:40","07:30","18"
"20/10/2021","13:30","08:11","18"
"19/10/2021","12:36","07:27","18"
"18/10/2021","12:36","07:30","18"
"17/10/2021","13:19","07:30","18"
"16/10/2021","13:03","07:30","18"
"15/10/2021","13:45","07:47","18"
"14/10/2021","13:55","10:20","20"
"13/10/2021","15:30","07:30","16"
